2025-05-30 16:40:13,993 - INFO - Starting Procify application
2025-05-30 16:40:13,994 - INFO - Initializing ProcessVisualizer
2025-05-30 16:40:14,561 - INFO - Starting process visualization
2025-05-30 16:40:29,907 - INFO - Initial process node created - PID: 2768, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:30,049 - INFO - Initial process node created - PID: 5840, Name: Dell.Update.SubAgent.exe, Memory: 0.3%, CPU: 0.0%
2025-05-30 16:40:30,157 - INFO - Initial process node created - PID: 16592, Name: firefox.exe, Memory: 0.5%, CPU: 0.0%
2025-05-30 16:40:30,300 - INFO - Initial process node created - PID: 6868, Name: Dell.TechHub.Analytics.SubAgent.exe, Memory: 0.7%, CPU: 0.0%
2025-05-30 16:40:30,448 - INFO - Initial process node created - PID: 2264, Name: MemCompression, Memory: 8.5%, CPU: 0.0%
2025-05-30 16:40:30,593 - INFO - Initial process node created - PID: 6880, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:30,708 - INFO - Initial process node created - PID: 11488, Name: WavesSvc64.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:30,853 - INFO - Initial process node created - PID: 12000, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:30,997 - INFO - Initial process node created - PID: 4328, Name: AuDBServer.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:31,155 - INFO - Initial process node created - PID: 4840, Name: conhost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:31,316 - INFO - Initial process node created - PID: 3308, Name: GWCtlSrv.exe, Memory: 0.4%, CPU: 0.0%
2025-05-30 16:40:31,508 - INFO - Initial process node created - PID: 7920, Name: dllhost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:31,677 - INFO - Initial process node created - PID: 756, Name: wininit.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:31,864 - INFO - Initial process node created - PID: 2292, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:31,990 - INFO - Initial process node created - PID: 7416, Name: svchost.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:32,109 - INFO - Initial process node created - PID: 8440, Name: igfxEM.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:32,264 - INFO - Initial process node created - PID: 764, Name: csrss.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:32,423 - INFO - Initial process node created - PID: 5884, Name: unsecapp.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:33,404 - INFO - Initial process node created - PID: 14076, Name: Cursor.exe, Memory: 0.6%, CPU: 0.0%
2025-05-30 16:40:33,563 - INFO - Initial process node created - PID: 1280, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:33,690 - INFO - Initial process node created - PID: 4864, Name: RuntimeBroker.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:33,856 - INFO - Initial process node created - PID: 1796, Name: IntelCpHeciSvc.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:34,042 - INFO - Initial process node created - PID: 1288, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:34,228 - INFO - Initial process node created - PID: 16136, Name: svchost.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:34,382 - INFO - Initial process node created - PID: 1292, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:34,539 - INFO - Initial process node created - PID: 3344, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:34,654 - INFO - Initial process node created - PID: 6416, Name: Cursor.exe, Memory: 0.6%, CPU: 0.0%
2025-05-30 16:40:34,770 - INFO - Initial process node created - PID: 792, Name: Cursor.exe, Memory: 0.7%, CPU: 0.0%
2025-05-30 16:40:34,885 - INFO - Initial process node created - PID: 7960, Name: taskhostw.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:35,000 - INFO - Initial process node created - PID: 11544, Name: RuntimeBroker.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:35,156 - INFO - Initial process node created - PID: 3868, Name: AuWatchDogService.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:35,321 - INFO - Initial process node created - PID: 4380, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:35,481 - INFO - Initial process node created - PID: 5916, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:35,606 - INFO - Initial process node created - PID: 6428, Name: firefox.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:35,736 - INFO - Initial process node created - PID: 13084, Name: firefox.exe, Memory: 0.1%, CPU: 0.0%
